sno,name,handedness,height,weight,avg,HR,ratio,bodyindex,bodytype,CatAvg
180,Chris Brown,RIGHT,72,185,0.269,38,0.389189189,1,MODERATE,4.50E-04
181,Al Bumbry,LEFT,68,170,0.281,54,0.4,1,MODERATE,9.95E-04
182,Al Downing,RIGHT,71,175,0.127,2,0.405714286,1,MODERATE,4.50E-04
184,Jake Gibbs,LEFT,72,180,0.233,25,0.4,1,MODERATE,9.95E-04
185,Garry Hancock,LEFT,72,175,0.247,12,0.411428571,1,MODERATE,9.95E-04
186,Ed Kranepool,LEFT,75,205,0.261,118,0.365853659,0,HEAVY,9.95E-04
187,Rick Rhoden,RIGHT,75,195,0.238,9,0.384615385,1,MODERATE,4.50E-04
188,Denny McLain,RIGHT,73,185,0.133,1,0.394594595,1,MODERATE,4.50E-04
189,Chuck Hiller,LEFT,71,170,0.243,20,0.417647059,1,MODERATE,9.95E-04
190,Jorge Orta,LEFT,70,170,0.278,130,0.411764706,1,MODERATE,9.95E-04
191,Dave Cash,RIGHT,71,170,0.283,21,0.417647059,1,MODERATE,4.50E-04
192,Bucky Dent,RIGHT,69,170,0.247,40,0.405882353,1,MODERATE,4.50E-04
195,Tony Gonzalez,LEFT,69,170,0.286,103,0.405882353,1,MODERATE,9.95E-04
197,Larry Haney,RIGHT,74,195,0.215,12,0.379487179,1,MODERATE,4.50E-04
198,Billy Conigliaro,RIGHT,72,180,0.256,40,0.4,1,MODERATE,4.50E-04
199,Gary Roenicke,RIGHT,75,205,0.247,121,0.365853659,0,HEAVY,4.50E-04
200,Don Lock,RIGHT,74,195,0.238,122,0.379487179,1,MODERATE,4.50E-04
201,Billy Cowan,RIGHT,72,170,0.236,40,0.423529412,1,MODERATE,4.50E-04
202,Billy Smith,BOTH,74,185,0.23,17,0.4,1,MODERATE,0.002943388
204,Tony Perez,RIGHT,74,175,0.279,379,0.422857143,1,MODERATE,4.50E-04
205,Chuck Schilling,RIGHT,70,160,0.239,23,0.4375,2,LEAN,4.50E-04
206,Hal McRae,RIGHT,71,180,0.29,191,0.394444444,1,MODERATE,4.50E-04
207,Dave Roberts,RIGHT,75,215,0.239,49,0.348837209,0,HEAVY,4.50E-04
209,Jim Lefebvre,BOTH,72,180,0.251,74,0.4,1,MODERATE,0.002943388
212,Charlie Spikes,RIGHT,75,215,0.246,65,0.348837209,0,HEAVY,4.50E-04
214,Steve Whitaker,LEFT,72,180,0.23,24,0.4,1,MODERATE,9.95E-04
215,Manny Jimenez,LEFT,73,185,0.272,26,0.394594595,1,MODERATE,9.95E-04
217,Duffy Dyer,RIGHT,72,187,0.221,30,0.385026738,1,MODERATE,4.50E-04
218,Ken Henderson,BOTH,74,180,0.257,122,0.411111111,1,MODERATE,0.002943388
221,Vern Fuller,RIGHT,73,170,0.232,14,0.429411765,1,MODERATE,4.50E-04
223,Wayne Gross,LEFT,74,210,0.233,121,0.352380952,0,HEAVY,9.95E-04
224,Mike Champion,RIGHT,72,185,0.229,2,0.389189189,1,MODERATE,4.50E-04
226,Paul Casanova,RIGHT,76,180,0.225,50,0.422222222,1,MODERATE,4.50E-04
229,Terry Crowley,LEFT,72,180,0.25,42,0.4,1,MODERATE,9.95E-04
230,Horace Clarke,BOTH,69,170,0.256,27,0.405882353,1,MODERATE,0.002943388
231,Lou Clinton,RIGHT,73,185,0.247,65,0.394594595,1,MODERATE,4.50E-04
232,Larry Cox,RIGHT,70,178,0.221,12,0.393258427,1,MODERATE,4.50E-04
233,Nate Colbert,RIGHT,74,190,0.243,173,0.389473684,1,MODERATE,4.50E-04
234,Phil Roof,RIGHT,74,190,0.215,43,0.389473684,1,MODERATE,4.50E-04
235,Chuck Hinton,RIGHT,73,180,0.264,113,0.405555556,1,MODERATE,4.50E-04
236,Tim Cullen,RIGHT,73,185,0.22,9,0.394594595,1,MODERATE,4.50E-04
237,Tim Harkness,LEFT,74,182,0.235,14,0.406593407,1,MODERATE,9.95E-04
238,Rick Bosetti,RIGHT,71,185,0.25,17,0.383783784,1,MODERATE,4.50E-04
239,Ron Pruitt,RIGHT,72,185,0.269,12,0.389189189,1,MODERATE,4.50E-04
240,George Foster,RIGHT,73,180,0.274,348,0.405555556,1,MODERATE,4.50E-04
241,Jerry White,BOTH,70,164,0.253,21,0.426829268,1,MODERATE,0.002943388
242,Angel Mangual,RIGHT,70,178,0.245,22,0.393258427,1,MODERATE,4.50E-04
243,Ken Gerhart,RIGHT,72,190,0.221,24,0.378947368,0,HEAVY,4.50E-04
244,Mike Hershberger,RIGHT,70,175,0.252,26,0.4,1,MODERATE,4.50E-04
245,Jim French,LEFT,68,180,0.196,5,0.377777778,0,HEAVY,9.95E-04
246,Dave Roberts,LEFT,75,195,0.194,7,0.384615385,1,MODERATE,9.95E-04
247,Jim Mason,LEFT,74,185,0.203,12,0.4,1,MODERATE,9.95E-04
249,Willie Smith,LEFT,72,182,0.248,46,0.395604396,1,MODERATE,9.95E-04
251,Jose Arcia,RIGHT,75,170,0.215,1,0.441176471,2,LEAN,4.50E-04
252,Leon Durham,LEFT,73,185,0.277,147,0.394594595,1,MODERATE,9.95E-04
254,Paul Householder,BOTH,72,180,0.236,29,0.4,1,MODERATE,0.002943388
255,Aurelio Rodriguez,RIGHT,70,180,0.237,124,0.388888889,1,MODERATE,4.50E-04
256,Jimmy Stewart,BOTH,72,165,0.237,8,0.436363636,2,LEAN,0.002943388
257,Dick Phillips,LEFT,72,180,0.229,12,0.4,1,MODERATE,9.95E-04
258,Andres Thomas,RIGHT,73,170,0.234,42,0.429411765,1,MODERATE,4.50E-04
260,Mike de la Hoz,RIGHT,71,175,0.251,25,0.405714286,1,MODERATE,4.50E-04
261,Frank Taveras,RIGHT,72,155,0.255,2,0.464516129,2,LEAN,4.50E-04
262,Joe Nossek,RIGHT,72,178,0.228,3,0.404494382,1,MODERATE,4.50E-04
263,Larry Stahl,LEFT,72,175,0.232,36,0.411428571,1,MODERATE,9.95E-04
264,Jose Cruz,LEFT,72,170,0.284,165,0.423529412,1,MODERATE,9.95E-04
265,Don Mason,LEFT,71,160,0.205,3,0.44375,2,LEAN,9.95E-04
266,Bill Robinson,RIGHT,74,189,0.258,166,0.391534392,1,MODERATE,4.50E-04
268,Sal Bando,RIGHT,72,195,0.254,242,0.369230769,0,HEAVY,4.50E-04
269,George Mitterwald,RIGHT,74,195,0.236,76,0.379487179,1,MODERATE,4.50E-04
272,Bob Tillman,RIGHT,76,205,0.232,79,0.370731707,0,HEAVY,4.50E-04
274,Pat Corrales,RIGHT,72,180,0.216,4,0.4,1,MODERATE,4.50E-04
275,Mike Tyson,RIGHT,69,170,0.241,27,0.405882353,1,MODERATE,4.50E-04
276,Rafael Landestoy,BOTH,70,165,0.237,4,0.424242424,1,MODERATE,0.002943388
277,Duane Josephson,RIGHT,72,190,0.258,23,0.378947368,0,HEAVY,4.50E-04
278,Duane Walker,LEFT,72,185,0.229,24,0.389189189,1,MODERATE,9.95E-04
279,Glenn Hubbard,RIGHT,69,150,0.244,70,0.46,2,LEAN,4.50E-04
280,Roger Freed,RIGHT,72,190,0.245,22,0.378947368,0,HEAVY,4.50E-04
281,George Hendrick,RIGHT,75,195,0.278,267,0.384615385,1,MODERATE,4.50E-04
282,Rod Carew,LEFT,72,170,0.328,92,0.423529412,1,MODERATE,9.95E-04
283,Bob Davis,RIGHT,72,180,0.197,6,0.4,1,MODERATE,4.50E-04
284,Toby Harrah,RIGHT,72,175,0.264,195,0.411428571,1,MODERATE,4.50E-04
285,Rick Manning,LEFT,73,180,0.257,56,0.405555556,1,MODERATE,9.95E-04
288,Gary Matthews,RIGHT,74,185,0.281,234,0.4,1,MODERATE,4.50E-04
289,Cesar Geronimo,LEFT,72,165,0.258,51,0.436363636,2,LEAN,9.95E-04
290,Billy Bryan,LEFT,76,200,0.216,41,0.38,1,MODERATE,9.95E-04
292,Terry Whitfield,LEFT,73,197,0.281,33,0.370558376,0,HEAVY,9.95E-04
293,Mario Mendoza,RIGHT,71,170,0.215,4,0.417647059,1,MODERATE,4.50E-04
294,Fred Lynn,LEFT,73,185,0.283,306,0.394594595,1,MODERATE,9.95E-04
295,Larry Hisle,RIGHT,74,193,0.273,166,0.383419689,1,MODERATE,4.50E-04
296,Graig Nettles,LEFT,72,180,0.248,390,0.4,1,MODERATE,9.95E-04
298,Dave Engle,RIGHT,75,210,0.262,31,0.357142857,0,HEAVY,4.50E-04
300,Mike Easler,LEFT,72,190,0.293,118,0.378947368,0,HEAVY,9.95E-04
303,Rick Sweet,BOTH,73,200,0.234,6,0.365,0,HEAVY,0.002943388
304,Thurman Munson,RIGHT,71,190,0.292,113,0.373684211,0,HEAVY,4.50E-04
305,Rick Monday,LEFT,75,193,0.264,241,0.388601036,1,MODERATE,9.95E-04
306,Mike Sadek,RIGHT,69,165,0.226,5,0.418181818,1,MODERATE,4.50E-04
307,Mark Belanger,RIGHT,73,170,0.228,20,0.429411765,1,MODERATE,4.50E-04
308,Ron Hunt,RIGHT,72,186,0.273,39,0.387096774,1,MODERATE,4.50E-04
309,Joe Keough,LEFT,72,185,0.246,9,0.389189189,1,MODERATE,9.95E-04
311,Vic Correll,RIGHT,70,185,0.229,29,0.378378378,0,HEAVY,4.50E-04
312,Jackie Hernandez,RIGHT,71,165,0.208,12,0.43030303,1,MODERATE,4.50E-04
313,Tony Solaita,LEFT,72,210,0.255,50,0.342857143,0,HEAVY,9.95E-04
314,U L Washington,BOTH,71,175,0.251,27,0.405714286,1,MODERATE,0.002943388
317,Joe Foy,RIGHT,72,215,0.248,58,0.334883721,0,HEAVY,4.50E-04
318,Ed Goodson,LEFT,75,180,0.26,30,0.416666667,1,MODERATE,9.95E-04
320,Mickey Klutts,RIGHT,71,170,0.241,14,0.417647059,1,MODERATE,4.50E-04
321,Leroy Stanton,RIGHT,73,195,0.244,77,0.374358974,0,HEAVY,4.50E-04
324,Danny Ainge,RIGHT,76,175,0.22,2,0.434285714,1,MODERATE,4.50E-04
325,Adolfo Phillips,RIGHT,73,175,0.247,59,0.417142857,1,MODERATE,4.50E-04
326,Marv Breeding,RIGHT,72,175,0.25,7,0.411428571,1,MODERATE,4.50E-04
328,Dick McAuliffe,LEFT,71,176,0.247,197,0.403409091,1,MODERATE,9.95E-04
330,Glenn Burke,RIGHT,72,195,0.237,2,0.369230769,0,HEAVY,4.50E-04
332,Terry Humphrey,RIGHT,75,185,0.211,6,0.405405405,1,MODERATE,4.50E-04
334,Enzo Hernandez,RIGHT,68,155,0.224,2,0.438709677,2,LEAN,4.50E-04
336,Coco Laboy,RIGHT,70,165,0.233,28,0.424242424,1,MODERATE,4.50E-04
337,Ted Kubiak,BOTH,72,175,0.231,13,0.411428571,1,MODERATE,0.002943388
338,Jim Morrison,RIGHT,71,175,0.26,112,0.405714286,1,MODERATE,4.50E-04
340,Bobby Knoop,RIGHT,73,170,0.236,56,0.429411765,1,MODERATE,4.50E-04
341,Bobby Brown,BOTH,74,190,0.245,26,0.389473684,1,MODERATE,0.002943388
342,Tom Hutton,LEFT,71,180,0.248,22,0.394444444,1,MODERATE,9.95E-04
343,Ron Hodges,LEFT,73,185,0.24,19,0.394594595,1,MODERATE,9.95E-04
344,Rich Chiles,LEFT,71,170,0.254,6,0.417647059,1,MODERATE,9.95E-04
345,Tom Paciorek,RIGHT,76,215,0.282,86,0.353488372,0,HEAVY,4.50E-04
346,Gary Woods,RIGHT,74,185,0.243,13,0.4,1,MODERATE,4.50E-04
347,Bob Montgomery,RIGHT,73,195,0.258,23,0.374358974,0,HEAVY,4.50E-04
348,Jeff Burroughs,RIGHT,73,200,0.261,240,0.365,0,HEAVY,4.50E-04
349,Rusty Staub,LEFT,74,190,0.279,292,0.389473684,1,MODERATE,9.95E-04
350,Jim Norris,LEFT,70,175,0.264,7,0.4,1,MODERATE,9.95E-04
351,Oscar Gamble,LEFT,71,160,0.265,200,0.44375,2,LEAN,9.95E-04
353,George Vukovich,LEFT,72,198,0.268,27,0.363636364,0,HEAVY,9.95E-04
355,Craig Reynolds,LEFT,73,175,0.256,42,0.417142857,1,MODERATE,9.95E-04
356,Paul Blair,RIGHT,72,168,0.25,134,0.428571429,1,MODERATE,4.50E-04
357,Al Cowens,RIGHT,73,197,0.27,108,0.370558376,0,HEAVY,4.50E-04
358,Al Oliver,LEFT,72,195,0.303,219,0.369230769,0,HEAVY,9.95E-04
359,Dave Hilton,RIGHT,71,191,0.213,6,0.371727749,0,HEAVY,4.50E-04
360,Luis Alvarado,RIGHT,69,162,0.214,5,0.425925926,1,MODERATE,4.50E-04
361,Larry Parrish,RIGHT,75,190,0.263,256,0.394736842,1,MODERATE,4.50E-04
362,Woodie Fryman,RIGHT,75,197,0.138,2,0.38071066,1,MODERATE,4.50E-04
363,Bob Randall,RIGHT,74,175,0.257,1,0.422857143,1,MODERATE,4.50E-04
364,Jim Pankovits,RIGHT,70,170,0.25,9,0.411764706,1,MODERATE,4.50E-04
366,Carmen Fanzone,RIGHT,72,200,0.224,20,0.36,0,HEAVY,4.50E-04
367,Gary Allenson,RIGHT,71,185,0.221,19,0.383783784,1,MODERATE,4.50E-04
368,Milt May,LEFT,72,190,0.263,77,0.378947368,0,HEAVY,9.95E-04
369,Mike Vail,RIGHT,73,180,0.279,34,0.405555556,1,MODERATE,4.50E-04
370,Nick Esasky,RIGHT,75,200,0.25,122,0.375,0,HEAVY,4.50E-04
371,Jim Nettles,LEFT,72,186,0.22,16,0.387096774,1,MODERATE,9.95E-04
373,Chris Cannizzaro,RIGHT,72,190,0.235,18,0.378947368,0,HEAVY,4.50E-04
374,Larry Biittner,LEFT,74,205,0.273,29,0.36097561,0,HEAVY,9.95E-04
376,Mel Stottlemyre,RIGHT,73,178,0.16,7,0.41011236,1,MODERATE,4.50E-04
379,Roy Smalley,BOTH,73,185,0.257,163,0.394594595,1,MODERATE,0.002943388
381,Andy Messersmith,RIGHT,73,200,0.17,5,0.365,0,HEAVY,4.50E-04
382,Richie Zisk,RIGHT,73,200,0.287,207,0.365,0,HEAVY,4.50E-04
383,Dave Chalk,RIGHT,70,175,0.252,15,0.4,1,MODERATE,4.50E-04
384,Don Baylor,RIGHT,73,190,0.26,338,0.384210526,1,MODERATE,4.50E-04
385,John Vukovich,RIGHT,73,187,0.161,6,0.390374332,1,MODERATE,4.50E-04
386,Danny Thompson,RIGHT,72,183,0.248,15,0.393442623,1,MODERATE,4.50E-04
387,Joe Simpson,LEFT,75,175,0.242,9,0.428571429,1,MODERATE,9.95E-04
388,Bill Fahey,LEFT,72,200,0.241,7,0.36,0,HEAVY,9.95E-04
389,Doug Camilli,RIGHT,71,195,0.199,18,0.364102564,0,HEAVY,4.50E-04
390,Bernie Allen,LEFT,72,175,0.239,73,0.411428571,1,MODERATE,9.95E-04
391,Bruce Bochy,RIGHT,75,205,0.239,26,0.365853659,0,HEAVY,4.50E-04
393,Claudell Washington,LEFT,72,190,0.278,164,0.378947368,0,HEAVY,9.95E-04
394,John Donaldson,LEFT,71,160,0.238,4,0.44375,2,LEAN,9.95E-04
396,John Mayberry,LEFT,75,215,0.253,255,0.348837209,0,HEAVY,9.95E-04
397,Ken Reitz,RIGHT,72,180,0.26,68,0.4,1,MODERATE,4.50E-04
398,Amos Otis,RIGHT,71,165,0.277,193,0.43030303,1,MODERATE,4.50E-04
399,Gene Alley,RIGHT,70,160,0.254,55,0.4375,2,LEAN,4.50E-04
400,Ted Sizemore,RIGHT,70,165,0.262,23,0.424242424,1,MODERATE,4.50E-04
401,Dan Briggs,LEFT,72,180,0.195,12,0.4,1,MODERATE,9.95E-04
403,Doug Flynn,RIGHT,71,165,0.238,7,0.43030303,1,MODERATE,4.50E-04
405,Ken Holtzman,RIGHT,74,175,0.163,2,0.422857143,1,MODERATE,4.50E-04
406,Pete Ward,LEFT,73,185,0.254,98,0.394594595,1,MODERATE,9.95E-04
