sno,name,handedness,height,weight,avg,HR,ratio,bodyindex,bodytype,CatAvg
25,Pete Rose,BOTH,71,192,0.303,160,0.369791667,0,HEAVY,0.002755676
26,Danny Walton,RIGHT,72,195,0.223,28,0.369230769,0,HEAVY,0.0003795
27,Bobby Cox,RIGHT,71,180,0.225,9,0.394444444,1,MODERATE,0.0003795
28,Brad Wellman,RIGHT,72,170,0.231,6,0.423529412,1,MODERATE,0.0003795
29,Jeff Newman,RIGHT,74,215,0.224,63,0.344186047,0,HEAVY,0.0003795
30,Pedro Gonzalez,RIGHT,72,176,0.244,8,0.409090909,1,MODERATE,0.0003795
31,Nardi Contreras,BOTH,74,193,0,0,0.383419689,1,MODERATE,0.002755676
32,Tommie Reynolds,RIGHT,74,190,0.226,12,0.389473684,1,MODERATE,0.0003795
33,Gene Clines,RIGHT,69,170,0.277,5,0.405882353,1,MODERATE,0.0003795
34,Jim Hickman,RIGHT,75,192,0.252,159,0.390625,1,MODERATE,0.0003795
35,Jack Billingham,RIGHT,76,195,0.111,0,0.38974359,1,MODERATE,0.0003795
36,Jerry Buchek,RIGHT,71,185,0.22,22,0.383783784,1,MODERATE,0.0003795
37,Ivan DeJesus,RIGHT,71,175,0.254,21,0.405714286,1,MODERATE,0.0003795
38,Gary Nolan,RIGHT,74,197,0.138,1,0.375634518,0,HEAVY,0.0003795
39,Gil Patterson,RIGHT,73,185,0,0,0.394594595,1,MODERATE,0.0003795
40,Fred Whitfield,LEFT,73,190,0.253,108,0.384210526,1,MODERATE,0.000647192
41,Larry Dierker,RIGHT,76,215,0.136,4,0.353488372,0,HEAVY,0.0003795
42,Dave Skaggs,RIGHT,74,200,0.241,3,0.37,0,HEAVY,0.0003795
43,Dick Ruthven,RIGHT,75,190,0.183,1,0.394736842,1,MODERATE,0.0003795
44,Jerry Garvin,LEFT,75,195,0,0,0.384615385,1,MODERATE,0.000647192
45,Steve Eddy,RIGHT,74,185,0,0,0.4,1,MODERATE,0.0003795
46,Dave Kingman,RIGHT,78,210,0.236,442,0.371428571,0,HEAVY,0.0003795
47,Eric Soderholm,RIGHT,71,187,0.264,102,0.379679144,1,MODERATE,0.0003795
48,Kevin Mmahat,LEFT,77,220,0,0,0.35,0,HEAVY,0.000647192
49,Ed Brinkman,RIGHT,72,170,0.224,60,0.423529412,1,MODERATE,0.0003795
50,Wayne Garrett,LEFT,71,175,0.239,61,0.405714286,1,MODERATE,0.000647192
51,Tony Muser,LEFT,74,180,0.259,7,0.411111111,1,MODERATE,0.000647192
52,Jim Siwy,RIGHT,76,200,0,0,0.38,1,MODERATE,0.0003795
53,Bud Anderson,RIGHT,75,210,0,0,0.357142857,0,HEAVY,0.0003795
54,Ted Ford,RIGHT,70,180,0.219,17,0.388888889,1,MODERATE,0.0003795
55,Kevin Stanfield,LEFT,72,190,0,0,0.378947368,0,HEAVY,0.000647192
56,Jim Lyttle,LEFT,72,180,0.248,9,0.4,1,MODERATE,0.000647192
57,John Butcher,RIGHT,76,185,0,0,0.410810811,1,MODERATE,0.0003795
58,Jerry Ujdur,RIGHT,73,195,0,0,0.374358974,0,HEAVY,0.0003795
59,Scot Thompson,LEFT,75,195,0.262,5,0.384615385,1,MODERATE,0.000647192
60,Gene Locklear,LEFT,70,165,0.274,9,0.424242424,1,MODERATE,0.000647192
61,Bo Diaz,RIGHT,71,185,0.255,87,0.383783784,1,MODERATE,0.0003795
62,Bump Wills,BOTH,69,172,0.266,36,0.401162791,1,MODERATE,0.002755676
63,Brian Denman,RIGHT,76,205,0,0,0.370731707,0,HEAVY,0.0003795
64,Pat Putnam,LEFT,72,205,0.255,63,0.351219512,0,HEAVY,0.000647192
65,Kurt Bevacqua,RIGHT,72,180,0.236,27,0.4,1,MODERATE,0.0003795
66,Bob Fallon,LEFT,75,200,0,0,0.375,0,HEAVY,0.000647192
67,Syd O'Brien,RIGHT,73,185,0.23,24,0.394594595,1,MODERATE,0.0003795
68,Chris Chambliss,LEFT,73,195,0.279,185,0.374358974,0,HEAVY,0.000647192
69,Tom Satriano,LEFT,73,185,0.225,21,0.394594595,1,MODERATE,0.000647192
70,Jeffrey Leonard,RIGHT,74,200,0.266,144,0.37,0,HEAVY,0.0003795
71,Dal Maxvill,RIGHT,71,157,0.217,6,0.452229299,2,LEAN,0.0003795
72,Steve Curry,RIGHT,78,217,0,0,0.359447005,0,HEAVY,0.0003795
73,Cesar Tovar,RIGHT,69,155,0.278,46,0.44516129,2,LEAN,0.0003795
74,Mickey Lolich,BOTH,73,170,0.11,0,0.429411765,1,MODERATE,0.002755676
75,Ray Chadwick,BOTH,74,180,0,0,0.411111111,1,MODERATE,0.002755676
76,Jack Heidemann,RIGHT,72,175,0.211,9,0.411428571,1,MODERATE,0.0003795
77,Rich Rollins,RIGHT,70,185,0.269,77,0.378378378,0,HEAVY,0.0003795
78,Walt Bond,LEFT,79,228,0.256,41,0.346491228,0,HEAVY,0.000647192
79,Merv Rettenmund,RIGHT,70,190,0.271,66,0.368421053,0,HEAVY,0.0003795
80,Bryan Clutterbuck,RIGHT,76,223,0,0,0.340807175,0,HEAVY,0.0003795
81,Byron Browne,RIGHT,74,190,0.236,30,0.389473684,1,MODERATE,0.0003795
82,Hector Torres,RIGHT,72,175,0.216,18,0.411428571,1,MODERATE,0.0003795
83,Walt Williams,RIGHT,66,165,0.27,33,0.4,1,MODERATE,0.0003795
84,Jerry Koosman,RIGHT,74,205,0.119,2,0.36097561,0,HEAVY,0.0003795
85,Steve Lombardozzi,RIGHT,72,175,0.233,20,0.411428571,1,MODERATE,0.0003795
86,Joe Azcue,RIGHT,72,190,0.252,50,0.378947368,0,HEAVY,0.0003795
87,Elliott Maddox,RIGHT,71,180,0.261,18,0.394444444,1,MODERATE,0.0003795
88,Omar Moreno,LEFT,74,180,0.252,37,0.411111111,1,MODERATE,0.000647192
89,Julian Javier,RIGHT,73,175,0.257,78,0.417142857,1,MODERATE,0.0003795
90,Tony Ferreira,LEFT,73,160,0,0,0.45625,2,LEAN,0.000647192
91,Elio Chacon,RIGHT,69,160,0.232,4,0.43125,1,MODERATE,0.0003795
92,Rusty Torres,BOTH,70,175,0.212,35,0.4,1,MODERATE,0.002755676
93,John Stearns,RIGHT,72,185,0.26,46,0.389189189,1,MODERATE,0.0003795
94,Larry Brown,RIGHT,70,160,0.233,47,0.4375,2,LEAN,0.0003795
95,Tommy Dean,RIGHT,72,165,0.18,4,0.436363636,2,LEAN,0.0003795
96,Bryan Oelkers,LEFT,75,192,0,0,0.390625,1,MODERATE,0.000647192
97,Kevin Bearse,LEFT,74,195,0,0,0.379487179,1,MODERATE,0.000647192
98,Marty Martinez,BOTH,72,170,0.243,0,0.423529412,1,MODERATE,0.002755676
99,Bruce Boisclair,LEFT,74,185,0.263,10,0.4,1,MODERATE,0.000647192
100,Ken Singleton,BOTH,76,210,0.282,246,0.361904762,0,HEAVY,0.002755676
101,Frank White,RIGHT,71,165,0.255,160,0.43030303,1,MODERATE,0.0003795
102,Jim Fairey,LEFT,70,190,0.235,7,0.368421053,0,HEAVY,0.000647192
103,Jose Roman,RIGHT,72,175,0,0,0.411428571,1,MODERATE,0.0003795
104,Tom Brookens,RIGHT,70,165,0.246,71,0.424242424,1,MODERATE,0.0003795
105,Gary Thomasson,LEFT,73,180,0.249,61,0.405555556,1,MODERATE,0.000647192
106,Mike Trujillo,RIGHT,73,180,0,0,0.405555556,1,MODERATE,0.0003795
107,Albert Williams,RIGHT,76,190,0,0,0.4,1,MODERATE,0.0003795
108,Oswaldo Peraza,RIGHT,76,172,0,0,0.441860465,2,LEAN,0.0003795
109,Otto Velez,RIGHT,72,170,0.251,78,0.423529412,1,MODERATE,0.0003795
110,Tony Scott,BOTH,72,164,0.249,17,0.43902439,2,LEAN,0.002755676
111,Ray Oyler,RIGHT,71,165,0.175,15,0.43030303,1,MODERATE,0.0003795
112,Barry Cort,RIGHT,77,210,0,0,0.366666667,0,HEAVY,0.0003795
113,Floyd Robinson,LEFT,69,175,0.283,67,0.394285714,1,MODERATE,0.000647192
114,Steve Jeltz,BOTH,71,180,0.21,5,0.394444444,1,MODERATE,0.002755676
115,Lou Brock,LEFT,71,170,0.293,149,0.417647059,1,MODERATE,0.000647192
116,Bill Wilkinson,RIGHT,70,160,0,0,0.4375,2,LEAN,0.0003795
117,Joe Lovitto,BOTH,72,185,0.216,4,0.389189189,1,MODERATE,0.002755676
118,Mike Loynd,RIGHT,76,210,0,0,0.361904762,0,HEAVY,0.0003795
119,Wayne Comer,RIGHT,70,175,0.229,16,0.4,1,MODERATE,0.0003795
120,Dave Collins,BOTH,71,175,0.272,32,0.405714286,1,MODERATE,0.002755676
121,Ed Spiezio,RIGHT,71,180,0.238,39,0.394444444,1,MODERATE,0.0003795
122,Rico Petrocelli,RIGHT,72,175,0.251,210,0.411428571,1,MODERATE,0.0003795
123,Johnny Lewis,LEFT,73,189,0.227,22,0.386243386,1,MODERATE,0.000647192
124,Dick Simpson,RIGHT,76,176,0.207,15,0.431818182,1,MODERATE,0.0003795
125,Ken Boswell,LEFT,72,170,0.248,31,0.423529412,1,MODERATE,0.000647192
126,Ken McMullen,RIGHT,75,190,0.248,156,0.394736842,1,MODERATE,0.0003795
127,Randy Scarbery,BOTH,73,185,0,0,0.394594595,1,MODERATE,0.002755676
128,Steve Swisher,RIGHT,74,205,0.216,20,0.36097561,0,HEAVY,0.0003795
129,Ben Callahan,RIGHT,79,230,0,0,0.343478261,0,HEAVY,0.0003795
130,Dick Howser,RIGHT,68,155,0.248,16,0.438709677,2,LEAN,0.0003795
131,Manny Castillo,BOTH,69,160,0.242,3,0.43125,1,MODERATE,0.002755676
132,Mike Ramsey,BOTH,73,170,0.24,2,0.429411765,1,MODERATE,0.002755676
133,Willie Crawford,LEFT,73,197,0.268,86,0.370558376,0,HEAVY,0.000647192
134,Bobby Cuellar,RIGHT,71,188,0,0,0.377659574,0,HEAVY,0.0003795
135,Willie Norwood,RIGHT,72,185,0.242,18,0.389189189,1,MODERATE,0.0003795
136,Mike Jones,LEFT,78,215,0,0,0.362790698,0,HEAVY,0.000647192
137,Jeff Stone,LEFT,72,175,0.277,11,0.411428571,1,MODERATE,0.000647192
138,Ramon Manon,RIGHT,72,150,0,0,0.48,2,LEAN,0.0003795
139,Joe Lahoud,LEFT,73,198,0.223,65,0.368686869,0,HEAVY,0.000647192
140,Tim Flannery,LEFT,71,175,0.255,9,0.405714286,1,MODERATE,0.000647192
141,Dave McKay,BOTH,73,195,0.229,21,0.374358974,0,HEAVY,0.002755676
142,John Trautwein,RIGHT,75,205,0,0,0.365853659,0,HEAVY,0.0003795
143,Andy Replogle,RIGHT,77,205,0,0,0.375609756,0,HEAVY,0.0003795
144,Zach Crouch,LEFT,75,180,0,0,0.416666667,1,MODERATE,0.000647192
145,Benny Ayala,RIGHT,73,185,0.251,38,0.394594595,1,MODERATE,0.0003795
146,Ron Romanick,RIGHT,76,195,0,0,0.38974359,1,MODERATE,0.0003795
147,Greg Gross,LEFT,70,160,0.287,7,0.4375,2,LEAN,0.000647192
148,Bruce Tanner,LEFT,75,220,0,0,0.340909091,0,HEAVY,0.000647192
149,Sal Butera,RIGHT,72,190,0.227,8,0.378947368,0,HEAVY,0.0003795
150,Jack Brohamer,LEFT,70,165,0.245,30,0.424242424,1,MODERATE,0.000647192
151,Von Joshua,LEFT,70,170,0.273,30,0.411764706,1,MODERATE,0.000647192
152,Eddie Milner,LEFT,71,173,0.253,42,0.410404624,1,MODERATE,0.000647192
153,Johnny Jeter,RIGHT,73,180,0.244,18,0.405555556,1,MODERATE,0.0003795
154,Angel Salazar,RIGHT,72,180,0.212,2,0.4,1,MODERATE,0.0003795
155,Tony Oliva,LEFT,73,175,0.304,220,0.417142857,1,MODERATE,0.000647192
156,Cito Gaston,RIGHT,75,190,0.256,91,0.394736842,1,MODERATE,0.0003795
157,Cookie Rojas,RIGHT,70,160,0.263,54,0.4375,2,LEAN,0.0003795
158,Rich Morales,RIGHT,71,170,0.195,6,0.417647059,1,MODERATE,0.0003795
159,Dave Ford,RIGHT,76,190,0,0,0.4,1,MODERATE,0.0003795
160,Dan Ford,RIGHT,73,185,0.27,121,0.394594595,1,MODERATE,0.0003795
161,Barry Raziano,BOTH,70,175,0,0,0.4,1,MODERATE,0.002755676
162,Darryl Motley,RIGHT,69,196,0.243,44,0.352040816,0,HEAVY,0.0003795
163,Ozzie Virgil,RIGHT,73,180,0.243,98,0.405555556,1,MODERATE,0.0003795
164,Johnny Oates,LEFT,71,188,0.25,14,0.377659574,0,HEAVY,0.000647192
165,Pat Underwood,LEFT,72,175,0,0,0.411428571,1,MODERATE,0.000647192
166,Mike Phillips,LEFT,72,170,0.24,11,0.423529412,1,MODERATE,0.000647192
167,Ron Santo,RIGHT,72,190,0.277,342,0.378947368,0,HEAVY,0.0003795
168,Jay Johnstone,LEFT,73,175,0.267,102,0.417142857,1,MODERATE,0.000647192
169,Jim Ray Hart,RIGHT,71,185,0.278,170,0.383783784,1,MODERATE,0.0003795
170,Marc Hill,RIGHT,75,205,0.223,34,0.365853659,0,HEAVY,0.0003795
171,Joel McKeon,LEFT,72,185,0,0,0.389189189,1,MODERATE,0.000647192
172,Danny Fife,RIGHT,75,175,0,0,0.428571429,1,MODERATE,0.0003795
173,Chico Salmon,RIGHT,70,160,0.249,31,0.4375,2,LEAN,0.0003795
174,Joe Niekro,RIGHT,73,185,0.156,1,0.394594595,1,MODERATE,0.0003795
175,Andy Etchebarren,RIGHT,73,190,0.235,49,0.384210526,1,MODERATE,0.0003795
176,Ken Berry,RIGHT,72,175,0.255,58,0.411428571,1,MODERATE,0.0003795
177,Dave Concepcion,RIGHT,74,155,0.267,101,0.477419355,2,LEAN,0.0003795
178,Junior Moore,RIGHT,71,185,0.264,7,0.383783784,1,MODERATE,0.0003795
179,Mike Richardt,RIGHT,72,170,0.226,4,0.423529412,1,MODERATE,0.0003795
180,Chris Brown,RIGHT,72,185,0.269,38,0.389189189,1,MODERATE,0.0003795
181,Al Bumbry,LEFT,68,170,0.281,54,0.4,1,MODERATE,0.000647192
182,Al Downing,RIGHT,71,175,0.127,2,0.405714286,1,MODERATE,0.0003795
183,Bob Didier,BOTH,72,190,0.229,0,0.378947368,0,HEAVY,0.002755676
184,Jake Gibbs,LEFT,72,180,0.233,25,0.4,1,MODERATE,0.000647192
185,Garry Hancock,LEFT,72,175,0.247,12,0.411428571,1,MODERATE,0.000647192
186,Ed Kranepool,LEFT,75,205,0.261,118,0.365853659,0,HEAVY,0.000647192
187,Rick Rhoden,RIGHT,75,195,0.238,9,0.384615385,1,MODERATE,0.0003795
188,Denny McLain,RIGHT,73,185,0.133,1,0.394594595,1,MODERATE,0.0003795
189,Chuck Hiller,LEFT,71,170,0.243,20,0.417647059,1,MODERATE,0.000647192
190,Jorge Orta,LEFT,70,170,0.278,130,0.411764706,1,MODERATE,0.000647192
191,Dave Cash,RIGHT,71,170,0.283,21,0.417647059,1,MODERATE,0.0003795
192,Bucky Dent,RIGHT,69,170,0.247,40,0.405882353,1,MODERATE,0.0003795
193,Andy Beene,RIGHT,75,205,0,0,0.365853659,0,HEAVY,0.0003795
194,Bruce Robbins,LEFT,73,190,0,0,0.384210526,1,MODERATE,0.000647192
195,Tony Gonzalez,LEFT,69,170,0.286,103,0.405882353,1,MODERATE,0.000647192
196,Leon Hooten,RIGHT,71,180,0,0,0.394444444,1,MODERATE,0.0003795
197,Larry Haney,RIGHT,74,195,0.215,12,0.379487179,1,MODERATE,0.0003795
198,Billy Conigliaro,RIGHT,72,180,0.256,40,0.4,1,MODERATE,0.0003795
199,Gary Roenicke,RIGHT,75,205,0.247,121,0.365853659,0,HEAVY,0.0003795
200,Don Lock,RIGHT,74,195,0.238,122,0.379487179,1,MODERATE,0.0003795
201,Billy Cowan,RIGHT,72,170,0.236,40,0.423529412,1,MODERATE,0.0003795
202,Billy Smith,BOTH,74,185,0.23,17,0.4,1,MODERATE,0.002755676
203,Allan Ramirez,RIGHT,70,180,0,0,0.388888889,1,MODERATE,0.0003795
204,Tony Perez,RIGHT,74,175,0.279,379,0.422857143,1,MODERATE,0.0003795
205,Chuck Schilling,RIGHT,70,160,0.239,23,0.4375,2,LEAN,0.0003795
206,Hal McRae,RIGHT,71,180,0.29,191,0.394444444,1,MODERATE,0.0003795
207,Dave Roberts,RIGHT,75,215,0.239,49,0.348837209,0,HEAVY,0.0003795
208,Brian Allard,RIGHT,73,175,0,0,0.417142857,1,MODERATE,0.0003795
209,Jim Lefebvre,BOTH,72,180,0.251,74,0.4,1,MODERATE,0.002755676
210,Fernando Arroyo,RIGHT,74,180,0,0,0.411111111,1,MODERATE,0.0003795
211,Gary Beare,RIGHT,76,205,0,0,0.370731707,0,HEAVY,0.0003795
212,Charlie Spikes,RIGHT,75,215,0.246,65,0.348837209,0,HEAVY,0.0003795
213,Brian Dubois,LEFT,70,165,0,0,0.424242424,1,MODERATE,0.000647192
214,Steve Whitaker,LEFT,72,180,0.23,24,0.4,1,MODERATE,0.000647192
215,Manny Jimenez,LEFT,73,185,0.272,26,0.394594595,1,MODERATE,0.000647192
216,Chris Batton,RIGHT,76,195,0,0,0.38974359,1,MODERATE,0.0003795
217,Duffy Dyer,RIGHT,72,187,0.221,30,0.385026738,1,MODERATE,0.0003795
218,Ken Henderson,BOTH,74,180,0.257,122,0.411111111,1,MODERATE,0.002755676
219,Vance Lovelace,LEFT,77,205,0,0,0.375609756,0,HEAVY,0.000647192
220,Greg Thayer,RIGHT,71,182,0,0,0.39010989,1,MODERATE,0.0003795
221,Vern Fuller,RIGHT,73,170,0.232,14,0.429411765,1,MODERATE,0.0003795
222,Paul Hartzell,RIGHT,77,200,0,0,0.385,1,MODERATE,0.0003795
223,Wayne Gross,LEFT,74,210,0.233,121,0.352380952,0,HEAVY,0.000647192
224,Mike Champion,RIGHT,72,185,0.229,2,0.389189189,1,MODERATE,0.0003795
225,Ralph Botting,LEFT,72,195,0,0,0.369230769,0,HEAVY,0.000647192
226,Paul Casanova,RIGHT,76,180,0.225,50,0.422222222,1,MODERATE,0.0003795
227,Steve Rogers,RIGHT,74,175,0.138,0,0.422857143,1,MODERATE,0.0003795
228,Keith Creel,RIGHT,74,180,0,0,0.411111111,1,MODERATE,0.0003795
229,Terry Crowley,LEFT,72,180,0.25,42,0.4,1,MODERATE,0.000647192
230,Horace Clarke,BOTH,69,170,0.256,27,0.405882353,1,MODERATE,0.002755676
231,Lou Clinton,RIGHT,73,185,0.247,65,0.394594595,1,MODERATE,0.0003795
232,Larry Cox,RIGHT,70,178,0.221,12,0.393258427,1,MODERATE,0.0003795
233,Nate Colbert,RIGHT,74,190,0.243,173,0.389473684,1,MODERATE,0.0003795
234,Phil Roof,RIGHT,74,190,0.215,43,0.389473684,1,MODERATE,0.0003795
235,Chuck Hinton,RIGHT,73,180,0.264,113,0.405555556,1,MODERATE,0.0003795
236,Tim Cullen,RIGHT,73,185,0.22,9,0.394594595,1,MODERATE,0.0003795
237,Tim Harkness,LEFT,74,182,0.235,14,0.406593407,1,MODERATE,0.000647192
238,Rick Bosetti,RIGHT,71,185,0.25,17,0.383783784,1,MODERATE,0.0003795
239,Ron Pruitt,RIGHT,72,185,0.269,12,0.389189189,1,MODERATE,0.0003795
240,George Foster,RIGHT,73,180,0.274,348,0.405555556,1,MODERATE,0.0003795
241,Jerry White,BOTH,70,164,0.253,21,0.426829268,1,MODERATE,0.002755676
242,Angel Mangual,RIGHT,70,178,0.245,22,0.393258427,1,MODERATE,0.0003795
243,Ken Gerhart,RIGHT,72,190,0.221,24,0.378947368,0,HEAVY,0.0003795
244,Mike Hershberger,RIGHT,70,175,0.252,26,0.4,1,MODERATE,0.0003795
245,Jim French,LEFT,68,180,0.196,5,0.377777778,0,HEAVY,0.000647192
246,Dave Roberts,LEFT,75,195,0.194,7,0.384615385,1,MODERATE,0.000647192
247,Jim Mason,LEFT,74,185,0.203,12,0.4,1,MODERATE,0.000647192
248,Mike Smith,RIGHT,75,180,0,0,0.416666667,1,MODERATE,0.0003795
249,Willie Smith,LEFT,72,182,0.248,46,0.395604396,1,MODERATE,0.000647192
250,T.R. Bryden,RIGHT,76,190,0,0,0.4,1,MODERATE,0.0003795
251,Jose Arcia,RIGHT,75,170,0.215,1,0.441176471,2,LEAN,0.0003795
252,Leon Durham,LEFT,73,185,0.277,147,0.394594595,1,MODERATE,0.000647192
253,Tom Makowski,RIGHT,71,185,0,0,0.383783784,1,MODERATE,0.0003795
254,Paul Householder,BOTH,72,180,0.236,29,0.4,1,MODERATE,0.002755676
255,Aurelio Rodriguez,RIGHT,70,180,0.237,124,0.388888889,1,MODERATE,0.0003795
256,Jimmy Stewart,BOTH,72,165,0.237,8,0.436363636,2,LEAN,0.002755676
257,Dick Phillips,LEFT,72,180,0.229,12,0.4,1,MODERATE,0.000647192
258,Andres Thomas,RIGHT,73,170,0.234,42,0.429411765,1,MODERATE,0.0003795
259,Ed Crosby,LEFT,74,175,0.22,0,0.422857143,1,MODERATE,0.000647192
260,Mike de la Hoz,RIGHT,71,175,0.251,25,0.405714286,1,MODERATE,0.0003795
261,Frank Taveras,RIGHT,72,155,0.255,2,0.464516129,2,LEAN,0.0003795
262,Joe Nossek,RIGHT,72,178,0.228,3,0.404494382,1,MODERATE,0.0003795
263,Larry Stahl,LEFT,72,175,0.232,36,0.411428571,1,MODERATE,0.000647192
264,Jose Cruz,LEFT,72,170,0.284,165,0.423529412,1,MODERATE,0.000647192
265,Don Mason,LEFT,71,160,0.205,3,0.44375,2,LEAN,0.000647192
266,Bill Robinson,RIGHT,74,189,0.258,166,0.391534392,1,MODERATE,0.0003795
267,Jim Umbarger,LEFT,78,200,0,0,0.39,1,MODERATE,0.000647192
268,Sal Bando,RIGHT,72,195,0.254,242,0.369230769,0,HEAVY,0.0003795
269,George Mitterwald,RIGHT,74,195,0.236,76,0.379487179,1,MODERATE,0.0003795
270,Mike Darr,RIGHT,76,190,0,0,0.4,1,MODERATE,0.0003795
271,Craig Robinson,RIGHT,70,165,0.219,0,0.424242424,1,MODERATE,0.0003795
272,Bob Tillman,RIGHT,76,205,0.232,79,0.370731707,0,HEAVY,0.0003795
273,Curt Wardle,LEFT,77,220,0,0,0.35,0,HEAVY,0.000647192
274,Pat Corrales,RIGHT,72,180,0.216,4,0.4,1,MODERATE,0.0003795
275,Mike Tyson,RIGHT,69,170,0.241,27,0.405882353,1,MODERATE,0.0003795
276,Rafael Landestoy,BOTH,70,165,0.237,4,0.424242424,1,MODERATE,0.002755676
277,Duane Josephson,RIGHT,72,190,0.258,23,0.378947368,0,HEAVY,0.0003795
278,Duane Walker,LEFT,72,185,0.229,24,0.389189189,1,MODERATE,0.000647192
279,Glenn Hubbard,RIGHT,69,150,0.244,70,0.46,2,LEAN,0.0003795
280,Roger Freed,RIGHT,72,190,0.245,22,0.378947368,0,HEAVY,0.0003795
281,George Hendrick,RIGHT,75,195,0.278,267,0.384615385,1,MODERATE,0.0003795
282,Rod Carew,LEFT,72,170,0.328,92,0.423529412,1,MODERATE,0.000647192
283,Bob Davis,RIGHT,72,180,0.197,6,0.4,1,MODERATE,0.0003795
284,Toby Harrah,RIGHT,72,175,0.264,195,0.411428571,1,MODERATE,0.0003795
285,Rick Manning,LEFT,73,180,0.257,56,0.405555556,1,MODERATE,0.000647192
286,Israel Sanchez,LEFT,69,170,0,0,0.405882353,1,MODERATE,0.000647192
287,Steve Burke,BOTH,74,200,0,0,0.37,0,HEAVY,0.002755676
288,Gary Matthews,RIGHT,74,185,0.281,234,0.4,1,MODERATE,0.0003795
289,Cesar Geronimo,LEFT,72,165,0.258,51,0.436363636,2,LEAN,0.000647192
290,Billy Bryan,LEFT,76,200,0.216,41,0.38,1,MODERATE,0.000647192
291,Terry Taylor,RIGHT,73,180,0,0,0.405555556,1,MODERATE,0.0003795
292,Terry Whitfield,LEFT,73,197,0.281,33,0.370558376,0,HEAVY,0.000647192
293,Mario Mendoza,RIGHT,71,170,0.215,4,0.417647059,1,MODERATE,0.0003795
294,Fred Lynn,LEFT,73,185,0.283,306,0.394594595,1,MODERATE,0.000647192
295,Larry Hisle,RIGHT,74,193,0.273,166,0.383419689,1,MODERATE,0.0003795
296,Graig Nettles,LEFT,72,180,0.248,390,0.4,1,MODERATE,0.000647192
297,Randy Nosek,RIGHT,76,215,0,0,0.353488372,0,HEAVY,0.0003795
298,Dave Engle,RIGHT,75,210,0.262,31,0.357142857,0,HEAVY,0.0003795
299,Narciso Elvira,LEFT,70,160,0,0,0.4375,2,LEAN,0.000647192
300,Mike Easler,LEFT,72,190,0.293,118,0.378947368,0,HEAVY,0.000647192
301,Mark Smith,RIGHT,74,215,0,0,0.344186047,0,HEAVY,0.0003795
302,Paul Mitchell,RIGHT,73,195,0,0,0.374358974,0,HEAVY,0.0003795
303,Rick Sweet,BOTH,73,200,0.234,6,0.365,0,HEAVY,0.002755676
304,Thurman Munson,RIGHT,71,190,0.292,113,0.373684211,0,HEAVY,0.0003795
305,Rick Monday,LEFT,75,193,0.264,241,0.388601036,1,MODERATE,0.000647192
306,Mike Sadek,RIGHT,69,165,0.226,5,0.418181818,1,MODERATE,0.0003795
307,Mark Belanger,RIGHT,73,170,0.228,20,0.429411765,1,MODERATE,0.0003795
308,Ron Hunt,RIGHT,72,186,0.273,39,0.387096774,1,MODERATE,0.0003795
309,Joe Keough,LEFT,72,185,0.246,9,0.389189189,1,MODERATE,0.000647192
310,Butch Edge,RIGHT,75,203,0,0,0.369458128,0,HEAVY,0.0003795
